          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
              1;        0.41536;         0.8843;         0.8503;        0.77221;        0.68096;
              2;        0.28819;         0.9132;        0.87046;        0.82561;        0.72965;
              3;        0.29017;        0.90384;        0.88798;        0.81716;        0.72359;
              4;        0.24543;        0.89395;          0.821;        0.77492;        0.71719;
              5;        0.22911;        0.91078;         0.8837;        0.82569;        0.73134;
              6;         0.1993;        0.89127;        0.82339;        0.76136;        0.71462;
              7;        0.17662;        0.91252;        0.86784;        0.81788;        0.74356;
              8;        0.33676;        0.89798;        0.85939;        0.80633;         0.6856;
              9;        0.25195;        0.88606;        0.83176;        0.77169;        0.68515;
             10;        0.21139;        0.91343;         0.8933;         0.8403;        0.74107;
             11;         0.2075;        0.90849;        0.87951;        0.82493;        0.73181;
             12;        0.20232;        0.93082;        0.90786;        0.86084;        0.76933;
             13;        0.18222;        0.92577;        0.89545;        0.85222;        0.75471;
             14;        0.17611;        0.81793;        0.86579;        0.72682;        0.65965;
             15;        0.16495;        0.92804;        0.90265;        0.85497;        0.77303;
             16;        0.16012;         0.9196;        0.90963;        0.85103;        0.75353;
             17;        0.16628;        0.90282;        0.85742;        0.80877;        0.69769;
             18;         0.1804;         0.9255;        0.88383;        0.85496;        0.74509;
             19;        0.18188;        0.93043;        0.91703;        0.86711;         0.7751;
             20;         0.1483;        0.93516;        0.90717;         0.8641;        0.78587;
             21;        0.13513;        0.91095;        0.91302;        0.84345;        0.75895;
             22;        0.12562;        0.94072;        0.92395;        0.88495;        0.79974;
             23;        0.13914;        0.93685;        0.91875;        0.86785;        0.79682;
             24;         0.1088;        0.94239;        0.91476;         0.8861;        0.80673;
             25;         0.1026;         0.9493;        0.93657;        0.90292;        0.82064;
             26;        0.14789;        0.93869;        0.90749;         0.8772;        0.78657;
             27;        0.10066;        0.94542;        0.93438;        0.89267;         0.8098;
             28;       0.091003;        0.94752;        0.93951;        0.89625;         0.8216;
             29;       0.088723;        0.94295;        0.92187;        0.89001;         0.7981;
             30;        0.13286;        0.94525;        0.93492;        0.89092;         0.8135;
             31;       0.093829;        0.94935;        0.93452;        0.90045;        0.82196;
             32;       0.080167;        0.94903;        0.93183;        0.90087;        0.81913;
             33;       0.075819;         0.9508;        0.93891;        0.90478;        0.82444;
             34;        0.07327;        0.95247;        0.94302;         0.9077;        0.83413;
             35;       0.071985;        0.95118;         0.9452;        0.90414;        0.83081;
             36;       0.068425;        0.95232;        0.94086;        0.90725;        0.83194;
             37;       0.069156;        0.95094;        0.93892;         0.9043;        0.82679;
             38;       0.069221;        0.94854;        0.93843;        0.89911;        0.82291;
             39;       0.071031;        0.93567;        0.93377;        0.88092;        0.79791;
             40;       0.071254;        0.95269;        0.94094;         0.9089;        0.82978;
             41;        0.19174;        0.93852;        0.91655;        0.87967;         0.7844;
             42;       0.097628;        0.95083;        0.94074;        0.90336;        0.82719;
             43;        0.07219;        0.95281;        0.94389;         0.9076;        0.83315;
             44;       0.065847;        0.95333;        0.94218;         0.9088;        0.83313;
             45;        0.06261;        0.95353;         0.9434;        0.90908;        0.83747;
             46;        0.06548;        0.95082;        0.93862;        0.90314;        0.82825;
             47;       0.063194;         0.9545;        0.94564;        0.91062;        0.84009;
             48;        0.05876;        0.95471;        0.94688;        0.91312;        0.84158;
             49;       0.056828;        0.95496;        0.94511;        0.91206;        0.84025;
             50;       0.075186;        0.65251;        0.66381;        0.51356;        0.41079;
             51;        0.12842;        0.95206;         0.9357;        0.91141;        0.82374;
             52;       0.064174;        0.95496;        0.94677;        0.91423;        0.83779;
             53;       0.058843;        0.95586;        0.94753;        0.91649;        0.84155;
             54;       0.057353;        0.95072;        0.93531;        0.90576;        0.82518;
             55;       0.056234;        0.95541;        0.94485;          0.915;         0.8399;
             56;       0.054405;        0.95597;        0.94682;        0.91624;          0.843;
             57;       0.053409;        0.95512;        0.94516;        0.91242;        0.84195;
             58;       0.052845;        0.95682;        0.94854;        0.92058;        0.84313;
             59;       0.053745;        0.95543;        0.94421;        0.91499;        0.84049;
             60;        0.05215;        0.95587;        0.94409;        0.91617;        0.84081;
             61;       0.051411;        0.95578;        0.94998;        0.91492;        0.84517;
             62;       0.050876;        0.95602;        0.94758;        0.91602;        0.84259;
             63;       0.050613;        0.95579;        0.94748;        0.91559;        0.84161;
             64;       0.050367;        0.95617;        0.94932;        0.91516;        0.84595;
             65;       0.050219;        0.95611;         0.9451;        0.91648;        0.84235;
             66;       0.049679;         0.9562;        0.94737;        0.91638;          0.844;
             67;        0.05025;        0.95627;        0.94642;         0.9162;        0.84319;
             68;       0.050852;        0.70905;        0.63051;         0.5256;        0.45821;
             69;       0.095451;        0.95489;        0.94436;        0.91273;        0.83932;
             70;       0.053496;        0.95556;         0.9481;        0.91459;        0.84328;
             71;       0.050068;        0.95599;        0.94778;        0.91452;        0.84547;
             72;       0.048218;        0.95603;        0.94706;        0.91514;        0.84331;
             73;       0.047403;        0.95651;        0.94714;         0.9172;        0.84438;
             74;        0.04762;        0.95567;        0.94536;        0.91401;        0.84273;
             75;       0.046965;        0.95621;        0.94533;        0.91502;        0.84411;
             76;       0.046528;        0.95113;        0.93039;        0.90762;        0.82091;
             77;       0.046835;        0.95696;        0.94832;        0.91789;        0.84587;
             78;       0.046335;        0.95595;        0.94736;        0.91388;        0.84476;
             79;       0.046058;        0.95562;        0.94452;        0.91375;        0.84343;
             80;       0.067023;        0.95477;        0.94526;        0.91159;        0.84081;
