          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
              1;         0.6692;        0.66386;         0.6513;        0.47698;        0.44417;
              2;        0.54598;        0.75511;        0.71271;        0.61136;         0.5274;
              3;        0.47439;        0.79979;        0.66208;        0.64857;        0.53526;
              4;        0.43212;         0.8048;        0.73227;        0.68313;        0.57541;
              5;        0.40439;        0.73346;        0.72009;        0.57403;        0.50832;
              6;         0.3828;        0.84184;        0.71181;         0.7069;        0.59704;
              7;        0.36473;        0.80299;        0.65789;        0.63008;        0.53708;
              8;        0.33443;         0.7592;        0.68139;        0.57627;        0.51847;
              9;        0.33201;        0.85703;        0.84445;        0.74451;        0.67098;
             10;        0.37309;        0.57554;        0.68624;        0.43012;        0.41903;
             11;        0.41252;         0.8383;        0.70635;        0.70221;        0.59613;
             12;        0.37707;         0.8525;        0.77367;        0.72079;        0.63575;
             13;        0.37026;        0.86006;        0.77492;        0.73872;        0.63708;
             14;        0.34427;        0.87136;        0.77018;        0.75312;        0.65134;
             15;        0.32354;        0.88821;        0.83888;        0.77987;        0.70407;
             16;        0.31728;        0.88816;        0.83553;        0.78481;        0.70218;
             17;         0.3318;        0.67157;        0.62416;        0.47005;        0.41772;
             18;        0.34646;        0.85328;        0.80169;         0.7253;        0.65851;
             19;         0.3037;        0.88069;        0.79936;        0.76154;        0.69074;
             20;        0.32641;        0.81855;        0.76841;        0.68126;        0.60826;
             21;        0.31492;        0.88546;        0.79616;        0.77111;        0.68341;
             22;        0.31078;        0.89326;        0.81508;        0.78047;        0.70468;
             23;        0.32499;        0.78518;        0.78601;        0.67481;        0.59616;
             24;        0.28238;        0.89555;        0.84361;        0.79075;         0.7194;
             25;        0.28537;        0.88073;        0.83799;        0.76433;        0.69878;
             26;         0.2752;        0.85667;        0.76341;        0.72034;        0.62896;
             27;         0.2896;        0.88762;        0.82796;         0.7793;        0.70183;
             28;        0.29515;        0.88666;        0.81412;         0.7748;        0.69884;
             29;        0.32773;        0.73746;        0.58201;        0.53593;        0.45981;
             30;        0.31886;        0.88067;        0.78303;        0.76345;        0.67528;
             31;        0.31358;        0.87257;        0.83088;        0.76298;        0.68497;
             32;        0.31885;        0.86622;        0.84049;        0.75528;        0.67401;
             33;        0.31583;        0.87805;        0.85329;        0.76909;        0.70095;
             34;        0.28545;        0.85652;        0.86327;        0.73385;        0.67647;
             35;        0.37975;        0.81269;        0.77066;        0.67687;        0.60961;
             36;        0.36558;        0.85063;        0.77044;        0.72927;        0.64316;
             37;        0.33662;         0.8791;         0.8305;        0.77303;        0.67825;
             38;        0.30553;        0.87171;        0.82546;        0.76588;        0.67318;
             39;        0.30199;        0.88736;        0.82095;        0.78412;        0.69129;
             40;         0.2916;        0.88509;         0.8477;         0.7788;        0.70689;
             41;        0.30901;        0.88393;        0.80858;        0.77379;        0.68537;
             42;        0.29553;        0.71146;        0.63216;         0.5079;        0.45983;
             43;        0.29861;        0.88983;        0.84231;        0.79166;        0.70203;
             44;        0.27514;        0.88682;        0.82501;        0.78824;        0.68015;
             45;        0.27482;        0.89124;        0.87438;        0.78903;        0.72108;
             46;        0.26927;        0.89744;        0.85359;        0.79526;         0.7127;
             47;         0.2584;        0.90789;        0.85183;        0.81685;         0.7263;
             48;        0.25671;         0.8097;        0.69571;        0.63578;        0.55841;
             49;        0.26073;        0.89277;        0.87175;        0.78936;        0.72676;
             50;        0.24763;        0.89365;        0.87537;        0.79422;        0.72523;
             51;        0.24454;        0.90282;        0.85967;        0.80732;        0.72054;
             52;        0.22077;        0.91259;         0.8857;        0.82546;         0.7437;
             53;        0.22611;        0.91482;         0.8779;        0.83076;        0.74319;
             54;        0.23241;        0.91002;        0.87074;        0.82165;        0.73559;
             55;        0.22708;        0.91065;        0.87003;        0.82107;        0.74172;
             56;        0.22387;        0.90071;        0.86125;        0.80459;        0.72456;
             57;        0.22037;        0.85318;         0.8361;        0.74617;        0.65322;
             58;        0.21851;        0.91608;        0.86483;        0.82876;        0.74384;
             59;        0.21307;        0.91582;        0.87433;        0.82626;        0.74593;
             60;        0.21186;        0.91787;        0.88127;        0.83369;         0.7498;
             61;        0.21426;        0.89857;        0.86215;        0.80802;        0.71908;
             62;        0.20612;        0.91793;        0.89594;        0.83503;        0.76116;
             63;        0.19987;        0.91689;        0.87703;        0.83416;        0.74964;
             64;        0.19773;        0.91364;        0.86225;        0.82762;        0.73838;
             65;        0.18803;        0.91055;        0.88102;        0.82493;         0.7395;
             66;        0.20239;        0.92197;        0.89174;        0.84295;        0.75882;
             67;        0.18768;        0.92374;        0.89724;        0.83955;        0.76648;
             68;        0.19539;        0.86106;        0.86222;          0.743;        0.68931;
             69;        0.19111;        0.92323;        0.88452;        0.84033;        0.76148;
             70;        0.19212;         0.9242;        0.89598;        0.84279;        0.76545;
             71;        0.19153;        0.92276;        0.89923;        0.84272;        0.76836;
             72;        0.17507;        0.92414;         0.8891;         0.8477;        0.76113;
             73;        0.18652;        0.92239;        0.90309;        0.84333;        0.76739;
             74;        0.17744;        0.91536;        0.88206;        0.82494;        0.74818;
             75;        0.17232;        0.92996;        0.90701;        0.85398;        0.78299;
             76;        0.18022;        0.91975;        0.87223;        0.84143;        0.74945;
             77;        0.17441;        0.91654;        0.85685;        0.81985;        0.74537;
             78;        0.16881;        0.91973;        0.87188;        0.83703;         0.7482;
             79;        0.17096;        0.91791;         0.9041;        0.83266;        0.76367;
             80;          0.178;        0.92724;        0.90918;        0.84588;        0.77563;
             81;        0.16177;        0.92537;        0.90375;        0.84734;        0.77089;
             82;        0.15587;        0.93265;        0.89843;         0.8593;        0.77833;
             83;        0.15307;        0.93235;        0.90835;        0.85794;        0.78477;
             84;        0.15549;        0.93397;        0.90474;        0.86043;        0.78525;
             85;         0.1555;        0.93131;        0.91196;        0.86055;        0.78118;
             86;        0.15622;        0.93265;        0.90363;        0.86127;        0.78019;
             87;        0.15138;        0.93317;        0.90414;        0.85969;        0.78123;
             88;        0.14539;         0.9279;        0.90323;        0.84893;        0.77366;
             89;        0.15147;        0.93083;        0.89908;        0.85331;        0.78413;
             90;        0.14414;        0.93484;        0.91096;        0.86559;        0.78384;
             91;        0.14209;        0.93194;        0.91309;        0.85358;        0.78833;
             92;        0.13847;        0.93373;        0.90544;        0.86084;        0.78454;
             93;        0.15696;        0.93251;        0.91386;        0.85632;        0.78744;
             94;        0.14058;        0.92118;        0.87064;         0.8449;        0.74966;
             95;        0.14228;        0.93369;        0.90384;        0.86232;        0.77931;
             96;        0.14035;        0.91988;         0.8948;         0.8465;        0.75084;
             97;        0.13968;        0.93591;         0.9114;        0.86807;         0.7877;
             98;        0.13414;        0.93392;        0.90575;        0.86206;        0.78444;
             99;         0.1268;        0.93646;        0.91087;        0.86541;         0.7905;
            100;        0.12766;        0.93274;        0.90512;        0.85912;         0.7793;
