          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
              1;        0.44988;        0.83678;         0.8452;        0.73442;        0.64998;
              2;        0.33759;        0.88131;         0.8562;        0.78059;        0.70286;
              3;        0.31299;        0.89331;        0.86336;        0.80467;        0.72168;
              4;        0.29698;        0.83182;        0.77826;        0.69616;        0.62036;
              5;        0.28335;        0.88708;          0.827;        0.79185;        0.69104;
              6;        0.26978;        0.86583;        0.82846;        0.76414;        0.65814;
              7;        0.25643;        0.89808;        0.81128;         0.7895;        0.70734;
              8;        0.25721;        0.89906;        0.85839;        0.80637;        0.73004;
              9;        0.25681;        0.89144;        0.85186;         0.7977;        0.70686;
             10;        0.25048;        0.89285;        0.83883;        0.79561;        0.70251;
             11;        0.24145;        0.79086;        0.74209;         0.6361;        0.59137;
             12;        0.22946;        0.90222;        0.85936;          0.815;        0.71846;
             13;        0.22026;        0.74733;         0.7909;        0.61486;        0.58608;
             14;        0.23256;        0.89565;        0.87011;        0.80156;         0.7293;
             15;        0.22567;        0.82368;        0.80129;        0.73793;        0.62418;
             16;        0.22547;        0.91748;        0.87081;        0.82652;         0.7546;
             17;        0.22105;        0.91864;        0.87299;        0.82969;        0.75336;
             18;        0.21077;         0.9167;        0.88814;        0.82801;        0.76933;
             19;        0.20111;        0.91633;        0.87102;        0.82735;        0.74561;
             20;        0.20538;        0.87468;        0.87763;         0.7929;        0.71866;
             21;        0.20209;        0.92806;        0.89086;        0.84522;         0.7769;
             22;        0.20818;        0.86019;        0.85633;        0.77462;        0.68594;
             23;        0.20624;        0.92144;        0.88828;        0.83927;        0.76347;
             24;        0.19368;        0.92917;        0.89282;        0.84521;        0.78104;
             25;        0.18972;        0.91954;        0.88537;        0.83566;        0.75789;
             26;        0.19046;        0.92695;        0.90237;        0.84897;        0.78873;
             27;        0.18982;        0.92774;        0.88533;        0.84691;        0.77412;
             28;        0.18525;        0.92979;        0.90149;        0.84953;        0.78533;
             29;        0.18254;        0.91219;         0.8849;        0.82508;        0.75038;
             30;        0.17464;        0.86699;        0.86576;         0.7687;        0.71545;
             31;        0.17077;        0.91597;        0.89664;         0.8369;        0.76994;
             32;        0.17553;        0.91236;        0.89662;        0.83265;        0.76815;
             33;        0.18056;         0.9136;        0.88653;        0.81058;         0.7673;
             34;        0.16567;        0.92725;        0.89366;        0.84147;        0.77984;
             35;        0.17235;        0.91398;        0.87381;        0.82413;        0.73838;
             36;        0.16486;        0.93446;        0.89761;        0.85629;        0.79045;
             37;        0.17623;        0.93463;        0.90709;        0.86042;        0.79588;
             38;        0.15905;        0.93663;         0.9112;        0.85655;        0.80482;
             39;        0.15619;        0.93944;        0.90998;        0.86102;        0.80613;
             40;        0.16672;        0.93789;        0.90276;        0.86071;        0.80263;
             41;        0.15659;        0.93749;        0.89946;        0.86117;        0.79722;
             42;        0.15266;        0.93963;        0.90046;        0.86259;        0.80564;
             43;        0.15408;        0.89575;        0.88397;        0.78554;         0.7529;
             44;        0.15028;        0.93343;        0.90259;        0.85765;        0.78769;
             45;        0.15066;        0.94254;        0.90742;        0.86829;        0.81175;
             46;        0.14005;        0.93921;        0.91008;         0.8656;        0.80572;
             47;          0.146;        0.94277;        0.91362;        0.86963;        0.81508;
             48;        0.14773;        0.94211;        0.91524;        0.87051;         0.8142;
             49;        0.14514;        0.93626;        0.89466;        0.85891;        0.79246;
             50;        0.14612;        0.94066;        0.90888;        0.86501;        0.80767;
             51;        0.13745;        0.94311;        0.91539;        0.87088;         0.8145;
             52;        0.14541;        0.93975;        0.90612;        0.86893;        0.80593;
             53;        0.13541;        0.94281;        0.91465;        0.87017;        0.81662;
             54;        0.13607;        0.94244;        0.91051;        0.87321;        0.80873;
             55;        0.13547;        0.94406;        0.91313;        0.87481;         0.8116;
             56;        0.13118;        0.94212;        0.90924;        0.86765;        0.80839;
             57;        0.13156;        0.94803;        0.91691;        0.88165;        0.82209;
             58;        0.12742;        0.94631;         0.9211;         0.8782;        0.82263;
             59;        0.12746;        0.94751;        0.91603;        0.88278;        0.81942;
             60;        0.12737;        0.94545;        0.91506;        0.87638;        0.81317;
             61;        0.12383;        0.94881;        0.92145;        0.88603;        0.82413;
             62;        0.12592;        0.94704;        0.92912;        0.87976;        0.82811;
             63;        0.12109;        0.95048;        0.93235;          0.889;        0.83291;
             64;        0.12611;        0.94103;        0.91387;        0.87245;        0.79863;
             65;        0.12244;        0.94643;        0.92829;        0.87982;        0.82399;
             66;        0.12897;        0.94954;        0.92626;        0.88599;          0.829;
             67;        0.12215;        0.94973;        0.92357;        0.88703;        0.82752;
             68;        0.11894;        0.94859;        0.92666;        0.88418;        0.82277;
             69;        0.11566;        0.95142;        0.92766;        0.89212;         0.8313;
             70;        0.11534;        0.94909;        0.92124;        0.88591;        0.82321;
             71;         0.1206;        0.95084;        0.92722;        0.88968;          0.833;
             72;        0.11338;        0.94848;        0.92526;        0.88778;        0.82511;
             73;        0.10784;         0.9508;         0.9333;         0.8929;        0.83312;
             74;        0.11118;        0.94943;         0.9335;         0.8925;        0.83199;
