          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
              1;        0.63408;        0.78074;        0.59073;        0.57968;        0.47644;
              2;        0.49082;        0.71606;        0.64585;         0.4898;        0.47511;
              3;        0.47709;        0.54351;        0.55509;        0.32216;        0.39866;
              4;        0.44984;         0.8774;        0.76025;        0.75964;        0.68605;
              5;        0.38418;        0.87303;        0.84677;         0.7425;        0.69532;
              6;        0.38266;        0.88231;        0.75616;         0.7672;        0.67761;
              7;        0.38602;        0.54349;        0.54081;        0.39946;        0.32066;
              8;        0.41561;        0.83579;        0.81986;        0.66525;        0.68129;
              9;         0.3843;        0.73968;        0.76355;        0.57277;        0.54415;
             10;        0.35878;        0.90722;        0.87147;        0.80075;        0.75466;
             11;        0.32986;        0.92712;        0.88298;        0.84036;        0.78917;
             12;        0.31111;         0.9246;        0.88626;        0.83106;        0.78513;
             13;        0.32928;        0.80802;         0.7748;        0.57592;        0.62145;
             14;        0.33507;        0.74026;        0.62768;          0.522;        0.46202;
             15;        0.31565;        0.91767;         0.8594;        0.82394;        0.76596;
             16;        0.31949;         0.9167;        0.86724;        0.82598;        0.76563;
             17;        0.32521;        0.76719;        0.59796;        0.52921;        0.49368;
             18;        0.38266;        0.29486;        0.41117;        0.12571;        0.15891;
             19;        0.33986;        0.91483;        0.88715;        0.80961;        0.76528;
             20;        0.32158;        0.66439;        0.64368;        0.45147;        0.42678;
             21;        0.33932;        0.85043;        0.83183;        0.73529;        0.66598;
             22;        0.31646;         0.9174;        0.84581;        0.82252;        0.76035;
             23;        0.34312;        0.81742;         0.7872;        0.68248;        0.60567;
             24;        0.31855;         0.8782;        0.85069;        0.74305;        0.70915;
             25;         0.3257;        0.76807;         0.6614;        0.54913;         0.4821;
          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
              1;        0.60385;        0.64076;        0.67186;        0.46519;        0.46606;
              2;        0.47514;        0.74984;        0.76151;        0.54632;        0.59725;
              3;        0.38791;        0.80692;        0.82411;        0.64348;         0.6207;
